0000;None
0001;Pon Drum
0002;Pata Drum
0003;Chaka Drum
0004;Don Drum
0005;Patapata Song
0006;Ponpon Song
0007;Chakachaka Song
0008;Ponpata Song
0009;Ponchaka Song
000A;Dondon Song
000B;Donchaka Song
000C;Yarigami's Sutra
000D;Tategami's Sutra
000E;Soragami's Sutra
000F;Yamagami's Sutra
0010;Moegami's Sutra
0011;Super Yarigami's Sutra
0012;Super Tategami's Sutra
0013;Super Soragami's Sutra
0014;Super Yarigami's Sutra
0015;Map 1
0016;Map 2
0017;Map 3
0018;Map 4
0019;Map 5
001A;Map 6
001B;Map 7
001C;Map 8
001D;Yarida L1's Memory
001E;~'s Memory 2
001F;~'s Memory 3
0020;~'s Memory 4
0021;~'s Memory 5
0022;~'s Memory 6
0023;~'s Memory 7
0024;~'s Memory 8
0025;~'s Memory 9
0026;~'s Memory 10
0027;~'s Memory 11
0028;~'s Memory 12
0029;~'s Memory 13
002A;~'s Memory 14
002B;~'s Memory 15
002C;~'s Memory 16
002D;~'s Memory 17
002E;~'s Memory 18
002F;~'s Memory 19
0030;~'s Memory 20
0031;Key
0032;Ka-ching
0033;Potion
0034;Purple Potion
0035;Blue Orb
0036;Red Orb
0037;Green Orb (Unused)
0038;Cafeteria Meat
0039;Tender Meat
003A;Succulent Meat
003B;Mystery Meat
003C;Demon Meat
003D;Berara Hide
003E;Gotsutsu Hide
003F;Subebe Hide
0040;Mezura Hide
0041;Demon Hide
0042;Kuneri Fang
0043;Itete Fang
0044;Gizaza Fang
0045;Nazozo Fang
0046;Demon Fang
0047;Mudada Bone
0048;Gashirin Bone
0049;Dodeka Bone
004A;Ottama Bone
004B;Demon Bone
004C;Stone
004D;Hard Iron
004E;Titanium Ore
004F;Mithril
0050;Adamantine
0051;Leaf
0052;Wood Branch
0053;Cherry Tree
0054;Hinoki
0055;Super Cedar
0056;Bowtie Tree
0057;Eyeball Cabbage
0058;Blood Carrot
0059;Predator Pumpkin
005A;Moor Morel
005B;Guddorian
005C;Kasu Seed
005D;Yoka Seed
005E;Deka Seed
005F;Bibi Seed
0060;Mater Seed
0061;Blunt Alloy
0062;Hard Alloy
0063;Awesome Alloy
0064;Magic Alloy
0065;Demon's Ore
0066;Familiar Juice
0067;Hot Juice
0068;Cold Juice
0069;Rainbow Juice
006A;Demon Juice
006B;Dekapon Hat 1
006C;Dekapon Hat 2
006D;Dekapon Hat 3
006E;Megapon Hat 1
006F;Megapon Hat 2
0070;Megapon Hat 3
0071;Mahopon Hat 1
0072;Mahopon Hat 2
0073;Mahopon Hat 3
0074;Sword
0075;Flame Sword
0076;Flame Sword [St]
0077;Flame Sword [G]
0078;Flame Sword [De]
0079;Flame Sword [H]
007A;Flame Sword [Sl]
007B;Flame Sword [Fl]
007C;Flame Sword [Po]
007D;Ice Sword
007E;Ice Sword [St]
007F;Ice Sword [G]
0080;Ice Sword [De]
0081;Ice Sword [H]
0082;Ice Sword [Sl]
0083;Ice Sword [Fl]
0084;Ice Sword [Po]
0085;Sleepy Sword
0086;Sleepy Sword [St]
0087;Sleepy Sword [G]
0088;Sleepy Sword [De]
0089;Sleepy Sword [H]
008A;Sleepy Sword [Sl]
008B;Sleepy Sword [Fl]
008C;Sleepy Sword [Po]
008D;Flangil
008E;Drigonlay
008F;Fendus
0090;Castram
0091;The Butcher
0092;Tatepon Sword
0093;Blade
0094;Critical Blade
0095;Critical Blade [St]
0096;Critical Blade [G]
0097;Critical Blade [De]
0098;Critical Blade [H]
0099;Critical Blade [Sl]
009A;Critical Blade [Fl]
009B;Critical Blade [Po]
009C;Lightning Blade
009D;Lightning Blade [St]
009E;Lightning Blade [G]
009F;Lightning Blade [De]
00A0;Lightning Blade [H]
00A1;Lightning Blade [Sl]
